Gene	Ensembl	Uniprot_Accession	Gene.description	HPA.evidence	RNA.tissue.specificity	RNA.tissue.specificity.score	RNA.tissue.specific.nTPM	Uniprot_Name	Mass	GO_Annotations	GeneID	Pubmed_Citations	Antibody.Count	HGNC	ASCTB_Tissues	ASCTB_UBERON
OR4X1	ENSG00000176567	Q8NH49	Olfactory receptor family 4 subfamily X member 1	No human protein/transcript evidence	Not detected	NA		OR4X1_HUMAN	34222	5	390113	7	1	NA	NA	NA
OR4X2	ENSG00000172208	Q8NGF9	Olfactory receptor family 4 subfamily X member 2	No human protein/transcript evidence	Not detected	NA		OR4X2_HUMAN	34289	5	119764	7	0	NA	NA	NA
OR51A2	ENSG00000205496	Q8NGJ7	Olfactory receptor family 51 subfamily A member 2	No human protein/transcript evidence	Not detected	NA		O51A2_HUMAN	35078	6	401667	1	0	NA	NA	NA
OR51A4	ENSG00000205497	Q8NGJ6	Olfactory receptor family 51 subfamily A member 4	No human protein/transcript evidence	Not detected	NA		O51A4_HUMAN	35256	6	401666	3	0	NA	NA	NA
OR51A7	ENSG00000176895	Q8NH64	Olfactory receptor family 51 subfamily A member 7	No human protein/transcript evidence	Not detected	NA		O51A7_HUMAN	35132	6	119687	3	0	NA	NA	NA
OR51B2	ENSG00000279012	Q9Y5P1	Olfactory receptor family 51 subfamily B member 2	No human protein/transcript evidence	Not detected	NA		O51B2_HUMAN	35373	6	79345	9	0	NA	NA	NA
OR51B4	ENSG00000183251	Q9Y5P0	Olfactory receptor family 51 subfamily B member 4	No human protein/transcript evidence	Not detected	NA		O51B4_HUMAN	34912	8	79339	6	0	NA	NA	NA
OR51B5	ENSG00000167355	Q9H339	Olfactory receptor family 51 subfamily B member 5	No human protein/transcript evidence	Not detected	NA		O51B5_HUMAN	35241	9	282763	9	0	NA	NA	NA
OR51B6	ENSG00000176239	Q9H340	Olfactory receptor family 51 subfamily B member 6	No human protein/transcript evidence	Not detected	NA		O51B6_HUMAN	35269	8	390058	4	1	NA	NA	NA
OR51D1	ENSG00000197428	Q8NGF3	Olfactory receptor family 51 subfamily D member 1	No human protein/transcript evidence	Not detected	NA		O51D1_HUMAN	35839	7	390038	4	1	NA	NA	NA
OR51E1	ENSG00000180785	Q8TCB6	Olfactory receptor family 51 subfamily E member 1	Evidence at transcript level	Tissue enhanced	NA	adipose tissue: 5.8;placenta: 7.5;prostate: 6.6	O51E1_HUMAN	35271	8	143503	17	0	NA	NA	NA
OR51E2	ENSG00000167332	Q9H255	Olfactory receptor family 51 subfamily E member 2	Evidence at transcript level	Group enriched	5	intestine: 8.5;prostate: 29.2	O51E2_HUMAN	35493	24	81285	30	1	NA	NA	NA
OR51F1	ENSG00000280021	A6NGY5	Olfactory receptor family 51 subfamily F member 1	No human protein/transcript evidence	Not detected	NA		O51F1_HUMAN	35849	6	256892	6	0	NA	NA	NA
OR51F2	ENSG00000176925	Q8NH61	Olfactory receptor family 51 subfamily F member 2	No human protein/transcript evidence	Not detected	NA		O51F2_HUMAN	38518	6	119694	4	1	NA	NA	NA
OR51G1	ENSG00000278870	Q8NGK1	Olfactory receptor family 51 subfamily G member 1	No human protein/transcript evidence	Not detected	NA		O51G1_HUMAN	36290	6	79324	6	1	NA	NA	NA
OR51G2	ENSG00000176893	Q8NGK0	Olfactory receptor family 51 subfamily G member 2	No human protein/transcript evidence	Not detected	NA		O51G2_HUMAN	35012	6	81282	4	1	NA	NA	NA
OR51I1	ENSG00000167359	Q9H343	Olfactory receptor family 51 subfamily I member 1	No human protein/transcript evidence	Not detected	NA		O51I1_HUMAN	35484	8	390063	6	1	NA	NA	NA
OR51I2	ENSG00000187918	Q9H344	Olfactory receptor family 51 subfamily I member 2	No human protein/transcript evidence	Not detected	NA		O51I2_HUMAN	35002	8	390064	6	1	NA	NA	NA
OR51L1	ENSG00000176798	Q8NGJ5	Olfactory receptor family 51 subfamily L member 1	No human protein/transcript evidence	Not detected	NA		O51L1_HUMAN	35369	7	119682	4	0	NA	NA	NA
OR51M1	ENSG00000184698	Q9H341	Olfactory receptor family 51 subfamily M member 1	No human protein/transcript evidence	Not detected	NA		O51M1_HUMAN	36669	8	390059	7	1	NA	NA	NA
OR51Q1	ENSG00000167360	Q8NH59	Olfactory receptor family 51 subfamily Q member 1	No human protein/transcript evidence	Not detected	NA		O51Q1_HUMAN	35747	6	390061	3	0	NA	NA	NA
OR51S1	ENSG00000176922	Q8NGJ8	Olfactory receptor family 51 subfamily S member 1	No human protein/transcript evidence	Not detected	NA		O51S1_HUMAN	35313	6	119692	3	0	NA	NA	NA
OR51T1	ENSG00000176900	Q8NGJ9	Olfactory receptor family 51 subfamily T member 1	No human protein/transcript evidence	Not detected	NA		O51T1_HUMAN	36998	6	401665	2	0	NA	NA	NA
OR51V1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR52A1	ENSG00000182070	Q9UKL2	Olfactory receptor family 52 subfamily A member 1	No human protein/transcript evidence	Not detected	NA		O52A1_HUMAN	35322	8	23538	8	0	NA	NA	NA
OR52A5	ENSG00000171944	Q9H2C5	Olfactory receptor family 52 subfamily A member 5	No human protein/transcript evidence	Not detected	NA		O52A5_HUMAN	35955	7	390054	3	0	NA	NA	NA
OR52B2	ENSG00000255307	Q96RD2	Olfactory receptor family 52 subfamily B member 2	No human protein/transcript evidence	Not detected	NA		O52B2_HUMAN	36185	6	255725	5	1	NA	NA	NA
OR52B4	ENSG00000221996	Q8NGK2	Olfactory receptor family 52 subfamily B member 4	No human protein/transcript evidence	Not detected	NA		O52B4_HUMAN	35584	7	143496	8	0	NA	NA	NA
OR52B6	ENSG00000187747	Q8NGF0	Olfactory receptor family 52 subfamily B member 6	No human protein/transcript evidence	Not detected	NA		O52B6_HUMAN	36963	6	340980	2	1	NA	NA	NA
OR52D1	ENSG00000181609	Q9H346	Olfactory receptor family 52 subfamily D member 1	Evidence at transcript level	Tissue enhanced	NA	testis: 1.2	O52D1_HUMAN	35122	7	390066	6	0	NA	NA	NA
OR52E2	ENSG00000176787	Q8NGJ4	Olfactory receptor family 52 subfamily E member 2	No human protein/transcript evidence	Not detected	NA		O52E2_HUMAN	36630	6	119678	2	1	NA	NA	NA
OR52E4	ENSG00000180974	Q8NGH9	Olfactory receptor family 52 subfamily E member 4	Evidence at transcript level	Tissue enhanced	NA	brain: 1.0	O52E4_HUMAN	35480	6	390081	3	1	NA	NA	NA
OR52E5	ENSG00000277932	Q8NH55	Olfactory receptor family 52 subfamily E member 5	No human protein/transcript evidence	Not detected	NA		O52E5_HUMAN	36851	6	390082	2	0	NA	NA	NA
OR52E6	ENSG00000205409	Q96RD3	Olfactory receptor family 52 subfamily E member 6	No human protein/transcript evidence	Not detected	NA		O52E6_HUMAN	35524	6	390078	5	1	NA	NA	NA
OR52E8	ENSG00000183269	Q6IFG1	Olfactory receptor family 52 subfamily E member 8	No human protein/transcript evidence	Not detected	NA		O52E8_HUMAN	35913	6	390079	4	1	NA	NA	NA
OR52H1	ENSG00000181616	Q8NGJ2	Olfactory receptor family 52 subfamily H member 1	No human protein/transcript evidence	Not detected	NA		O52H1_HUMAN	35592	6	390067	3	0	NA	NA	NA
OR52I1	ENSG00000232268	Q8NGK6	Olfactory receptor family 52 subfamily I member 1	Evidence at transcript level	Tissue enriched	5	brain: 2.9	O52I1_HUMAN	35386	6	390037	5	0	NA	NA	NA
OR52I2	ENSG00000226288	Q8NH67	Olfactory receptor family 52 subfamily I member 2	No human protein/transcript evidence	Not detected	NA		O52I2_HUMAN	38353	6	143502	4	0	NA	NA	NA
OR52J3	ENSG00000205495	Q8NH60	Olfactory receptor family 52 subfamily J member 3	No human protein/transcript evidence	Not detected	NA		O52J3_HUMAN	35091	6	119679	2	0	NA	NA	NA
OR52K1	ENSG00000196778	Q8NGK4	Olfactory receptor family 52 subfamily K member 1	Evidence at transcript level	Tissue enhanced	NA	bone marrow: 1.0	O52K1_HUMAN	35231	6	390036	5	1	NA	NA	NA
OR52K2	ENSG00000181963	Q8NGK3	Olfactory receptor family 52 subfamily K member 2	No human protein/transcript evidence	Not detected	NA		O52K2_HUMAN	34926	6	119774	4	0	NA	NA	NA
OR52L1	ENSG00000183313	Q8NGH7	Olfactory receptor family 52 subfamily L member 1	No human protein/transcript evidence	Not detected	NA		O52L1_HUMAN	36221	7	338751	6	0	NA	NA	NA
OR52M1	ENSG00000197790	Q8NGK5	Olfactory receptor family 52 subfamily M member 1	No human protein/transcript evidence	Not detected	NA		O52M1_HUMAN	35037	6	119772	5	0	NA	NA	NA
OR52N1	ENSG00000181001	Q8NH53	Olfactory receptor family 52 subfamily N member 1	No human protein/transcript evidence	Not detected	NA		O52N1_HUMAN	35785	6	79473	3	0	NA	NA	NA
OR52N2	ENSG00000180988	Q8NGI0	Olfactory receptor family 52 subfamily N member 2	No human protein/transcript evidence	Not detected	NA		O52N2_HUMAN	35940	6	390077	3	0	NA	NA	NA
OR52N4	ENSG00000181074	Q8NGI2	Olfactory receptor family 52 subfamily N member 4	Evidence at transcript level	Tissue enhanced	NA	lymphoid tissue: 2.8	O52N4_HUMAN	36080	6	390072	4	1	NA	NA	NA
OR52N5	ENSG00000181009	Q8NH56	Olfactory receptor family 52 subfamily N member 5	No human protein/transcript evidence	Not detected	NA		O52N5_HUMAN	36212	6	390075	4	1	NA	NA	NA
OR52R1	ENSG00000279270	Q8NGF1	Olfactory receptor family 52 subfamily R member 1	No human protein/transcript evidence	Not detected	NA		O52R1_HUMAN	34943	6	119695	4	0	NA	NA	NA
OR52W1	ENSG00000175485	Q6IF63	Olfactory receptor family 52 subfamily W member 1	No human protein/transcript evidence	Not detected	NA		O52W1_HUMAN	34414	6	120787	6	1	NA	NA	NA
OR56A1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR56A3	ENSG00000184478	Q8NH54	Olfactory receptor family 56 subfamily A member 3	No human protein/transcript evidence	Not detected	NA		O56A3_HUMAN	35611	6	390083	3	0	NA	NA	NA
OR56A4	ENSG00000183389	Q8NGH8	Olfactory receptor family 56 subfamily A member 4	No human protein/transcript evidence	Not detected	NA		O56A4_HUMAN	35116	6	120793	4	0	NA	NA	NA
OR56A5	ENSG00000188691	P0C7T3	Olfactory receptor family 56 subfamily A member 5	No human protein/transcript evidence	Not detected	NA		O56A5_HUMAN	35317	5	390084	2	0	NA	NA	NA
OR56B1	ENSG00000181023	Q8NGI3	Olfactory receptor family 56 subfamily B member 1	No human protein/transcript evidence	Not detected	NA		O56B1_HUMAN	36050	6	387748	4	1	NA	NA	NA
OR56B4	ENSG00000180919	Q8NH76	Olfactory receptor family 56 subfamily B member 4	No human protein/transcript evidence	Not detected	NA		O56B4_HUMAN	35454	6	196335	4	1	NA	NA	NA
OR5A1	ENSG00000172320	Q8NGJ0	Olfactory receptor family 5 subfamily A member 1	Evidence at transcript level	Tissue enhanced	NA	brain: 2.0	OR5A1_HUMAN	35152	7	219982	4	0	NA	NA	NA
OR5A2	ENSG00000172324	Q8NGI9	Olfactory receptor family 5 subfamily A member 2	Evidence at transcript level	Tissue enhanced	NA	brain: 1.9	OR5A2_HUMAN	36016	7	219981	5	1	NA	NA	NA
OR5AC2	ENSG00000196578	Q9NZP5	Olfactory receptor family 5 subfamily AC member 2	No human protein/transcript evidence	Not detected	NA		O5AC2_HUMAN	35304	9	81050	4	0	NA	NA	NA
OR5AK2	ENSG00000181273	Q8NH90	Olfactory receptor family 5 subfamily AK member 2	Evidence at transcript level	Tissue enriched	4	lymphoid tissue: 5.2	O5AK2_HUMAN	34627	8	390181	3	0	NA	NA	NA
OR5AN1	ENSG00000176495	Q8NGI8	Olfactory receptor family 5 subfamily AN member 1	No human protein/transcript evidence	Not detected	NA		O5AN1_HUMAN	34789	10	390195	8	0	NA	NA	NA
OR5AP2	ENSG00000172464	Q8NGF4	Olfactory receptor family 5 subfamily AP member 2	No human protein/transcript evidence	Not detected	NA		O5AP2_HUMAN	35508	8	338675	3	0	NA	NA	NA
OR5AR1	ENSG00000172459	Q8NGP9	Olfactory receptor family 5 subfamily AR member 1	No human protein/transcript evidence	Not detected	NA		O5AR1_HUMAN	34815	7	219493	6	0	NA	NA	NA
OR5AS1	ENSG00000181785	Q8N127	Olfactory receptor family 5 subfamily AS member 1	Evidence at transcript level	Tissue enhanced	NA	brain: 7.0	O5AS1_HUMAN	36653	8	219447	3	0	NA	NA	NA
OR5AU1	ENSG00000169327	Q8NGC0	Olfactory receptor family 5 subfamily AU member 1	No human protein/transcript evidence	Not detected	NA		O5AU1_HUMAN	40658	7	390445	4	0	NA	NA	NA
OR5B12	ENSG00000172362	Q96R08	Olfactory receptor family 5 subfamily B member 12	No human protein/transcript evidence	Not detected	NA		OR5BC_HUMAN	35182	8	390191	4	1	NA	NA	NA
OR5B17	ENSG00000197786	Q8NGF7	Olfactory receptor family 5 subfamily B member 17	No human protein/transcript evidence	Not detected	NA		OR5BH_HUMAN	35091	8	219965	2	0	NA	NA	NA
OR5B2	ENSG00000172365	Q96R09	Olfactory receptor family 5 subfamily B member 2	No human protein/transcript evidence	Not detected	NA		OR5B2_HUMAN	34568	8	390190	5	0	NA	NA	NA
OR5B21	ENSG00000198283	A6NL26	Olfactory receptor family 5 subfamily B member 21	No human protein/transcript evidence	Not detected	NA		OR5BL_HUMAN	34174	8	219968	1	0	NA	NA	NA
OR5B3	ENSG00000172769	Q8NH48	Olfactory receptor family 5 subfamily B member 3	No human protein/transcript evidence	Not detected	NA		OR5B3_HUMAN	35258	8	441608	3	0	NA	NA	NA
OR5BS1P	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
OR5C1	ENSG00000148215	Q8NGR4	Olfactory receptor family 5 subfamily C member 1	No human protein/transcript evidence	Not detected	NA		OR5C1_HUMAN	34991	7	392391	4	1	NA	NA	NA
OR5D13	ENSG00000279761	Q8NGL4	Olfactory receptor family 5 subfamily D member 13	No human protein/transcript evidence	Not detected	NA		OR5DD_HUMAN	35447	8	390142	4	0	NA	NA	NA
OR5D14	ENSG00000186113	Q8NGL3	Olfactory receptor family 5 subfamily D member 14	No human protein/transcript evidence	Not detected	NA		OR5DE_HUMAN	35823	8	219436	3	1	NA	NA	NA
OR5D16	ENSG00000205029	Q8NGK9	Olfactory receptor family 5 subfamily D member 16	No human protein/transcript evidence	Not detected	NA		OR5DG_HUMAN	37278	8	390144	3	0	NA	NA	NA
OR5D18	ENSG00000186119	Q8NGL1	Olfactory receptor family 5 subfamily D member 18	No human protein/transcript evidence	Not detected	NA		OR5DI_HUMAN	35348	8	219438	4	0	NA	NA	NA
OR5F1	ENSG00000149133	O95221	Olfactory receptor family 5 subfamily F member 1	No human protein/transcript evidence	Not detected	NA		OR5F1_HUMAN	35132	9	338674	8	1	NA	NA	NA
OR5H1	ENSG00000231192	A6NKK0	Olfactory receptor family 5 subfamily H member 1	No human protein/transcript evidence	Not detected	NA		OR5H1_HUMAN	35387	8	26341	5	1	NA	NA	NA
OR5H14	ENSG00000236032	A6NHG9	Olfactory receptor family 5 subfamily H member 14	No human protein/transcript evidence	Not detected	NA		O5H14_HUMAN	35099	7	403273	4	1	NA	NA	NA
OR5H15	ENSG00000233412	A6NDH6	Olfactory receptor family 5 subfamily H member 15	No human protein/transcript evidence	Not detected	NA		O5H15_HUMAN	35352	7	403274	2	0	NA	NA	NA
OR5H2	ENSG00000197938	Q8NGV7	Olfactory receptor family 5 subfamily H member 2	No human protein/transcript evidence	Not detected	NA		OR5H2_HUMAN	35974	7	79310	4	0	NA	NA	NA
OR5H6	ENSG00000230301	Q8NGV6	Olfactory receptor family 5 subfamily H member 6	No human protein/transcript evidence	Not detected	NA		OR5H6_HUMAN	36713	7	79295	5	1	NA	NA	NA
OR5I1	ENSG00000167825	Q13606	Olfactory receptor family 5 subfamily I member 1	No human protein/transcript evidence	Not detected	NA		OR5I1_HUMAN	36049	9	10798	6	1	NA	NA	NA
OR5J2	ENSG00000174957	Q8NH18	Olfactory receptor family 5 subfamily J member 2	No human protein/transcript evidence	Not detected	NA		OR5J2_HUMAN	34808	7	282775	3	1	NA	NA	NA
OR5K1	ENSG00000232382	Q8NHB7	Olfactory receptor family 5 subfamily K member 1	No human protein/transcript evidence	Not detected	NA		OR5K1_HUMAN	35185	7	26339	5	0	NA	NA	NA
OR5K2	ENSG00000231861	Q8NHB8	Olfactory receptor family 5 subfamily K member 2	No human protein/transcript evidence	Not detected	NA		OR5K2_HUMAN	35763	8	402135	5	0	NA	NA	NA
OR5K3	ENSG00000206536	A6NET4	Olfactory receptor family 5 subfamily K member 3	No human protein/transcript evidence	Not detected	NA		OR5K3_HUMAN	36711	7	403277	1	0	NA	NA	NA
OR5K4	ENSG00000196098	A6NMS3	Olfactory receptor family 5 subfamily K member 4	No human protein/transcript evidence	Not detected	NA		OR5K4_HUMAN	36711	7	403278	1	0	NA	NA	NA
OR5L1	ENSG00000279395	Q8NGL2	Olfactory receptor family 5 subfamily L member 1	No human protein/transcript evidence	Not detected	NA		OR5L1_HUMAN	34559	8	219437	7	0	NA	NA	NA
OR5L2	ENSG00000205030	Q8NGL0	Olfactory receptor family 5 subfamily L member 2	No human protein/transcript evidence	Not detected	NA		OR5L2_HUMAN	34682	8	26338	4	0	NA	NA	NA
OR5M1	ENSG00000255012	Q8NGP8	Olfactory receptor family 5 subfamily M member 1	No human protein/transcript evidence	Not detected	NA		OR5M1_HUMAN	35608	8	390168	3	1	NA	NA	NA
OR5M10	ENSG00000254834	Q6IEU7	Olfactory receptor family 5 subfamily M member 10	No human protein/transcript evidence	Not detected	NA		OR5MA_HUMAN	35592	8	390167	5	0	NA	NA	NA
OR5M11	ENSG00000255223	Q96RB7	Olfactory receptor family 5 subfamily M member 11	No human protein/transcript evidence	Not detected	NA		OR5MB_HUMAN	34450	8	219487	5	0	NA	NA	NA
OR5M3	ENSG00000174937	Q8NGP4	Olfactory receptor family 5 subfamily M member 3	No human protein/transcript evidence	Not detected	NA		OR5M3_HUMAN	35156	8	219482	6	0	NA	NA	NA
OR5M8	ENSG00000181371	Q8NGP6	Olfactory receptor family 5 subfamily M member 8	No human protein/transcript evidence	Not detected	NA		OR5M8_HUMAN	35603	8	219484	5	0	NA	NA	NA
OR5M9	ENSG00000150269	Q8NGP3	Olfactory receptor family 5 subfamily M member 9	No human protein/transcript evidence	Not detected	NA		OR5M9_HUMAN	35093	8	390162	3	0	NA	NA	NA
OR5P2	ENSG00000183303	Q8WZ92	Olfactory receptor family 5 subfamily P member 2	No human protein/transcript evidence	Not detected	NA		OR5P2_HUMAN	35786	7	120065	5	1	NA	NA	NA
OR5P3	ENSG00000182334	Q8WZ94	Olfactory receptor family 5 subfamily P member 3	No human protein/transcript evidence	Not detected	NA		OR5P3_HUMAN	34296	7	120066	4	1	NA	NA	NA
OR5R1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
OR5T1	ENSG00000181698	Q8NG75	Olfactory receptor family 5 subfamily T member 1	No human protein/transcript evidence	Not detected	NA		OR5T1_HUMAN	36885	5	390155	4	1	NA	NA	NA
OR5T2	ENSG00000181718	Q8NGG2	Olfactory receptor family 5 subfamily T member 2	No human protein/transcript evidence	Not detected	NA		OR5T2_HUMAN	40696	10	219464	3	0	NA	NA	NA
OR5T3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA
OR5V1	ENSG00000243729	Q9UGF6	Olfactory receptor family 5 subfamily V member 1	No human protein/transcript evidence	Not detected	NA		OR5V1_HUMAN	36057	6	81696	10	1	NA	NA	NA
OR5W2	ENSG00000187612	Q8NH69	Olfactory receptor family 5 subfamily W member 2	No human protein/transcript evidence	Not detected	NA		OR5W2_HUMAN	35167	7	390148	4	0	NA	NA	NA
OR6A2	ENSG00000184933	O95222	Olfactory receptor family 6 subfamily A member 2	No human protein/transcript evidence	Not detected	NA		OR6A2_HUMAN	36154	8	8590	10	0	NA	NA	NA
OR6B1	ENSG00000221813	O95007	Olfactory receptor family 6 subfamily B member 1	No human protein/transcript evidence	Not detected	NA		OR6B1_HUMAN	35299	10	135946	7	0	NA	NA	NA
OR6B2	ENSG00000182083	Q6IFH4	Olfactory receptor family 6 subfamily B member 2	No human protein/transcript evidence	Not detected	NA		OR6B2_HUMAN	35029	8	389090	4	1	NA	NA	NA
OR6B3	ENSG00000178586	Q8NGW1	Olfactory receptor family 6 subfamily B member 3	Evidence at transcript level	Tissue enriched	13	retina: 21.1	OR6B3_HUMAN	37232	8	150681	5	1	NA	NA	NA
OR6C1	ENSG00000205330	Q96RD1	Olfactory receptor family 6 subfamily C member 1	No human protein/transcript evidence	Not detected	NA		OR6C1_HUMAN	35660	7	390321	7	1	NA	NA	NA
OR6C2	ENSG00000179695	Q9NZP2	Olfactory receptor family 6 subfamily C member 2	No human protein/transcript evidence	Not detected	NA		OR6C2_HUMAN	35178	8	341416	4	0	NA	NA	NA
OR6C3	ENSG00000205329	Q9NZP0	Olfactory receptor family 6 subfamily C member 3	No human protein/transcript evidence	Not detected	NA		OR6C3_HUMAN	35531	8	254786	4	1	NA	NA	NA
OR6C4	ENSG00000179626	Q8NGE1	Olfactory receptor family 6 subfamily C member 4	No human protein/transcript evidence	Not detected	NA		OR6C4_HUMAN	35010	6	341418	7	0	NA	NA	NA
OR6C6	ENSG00000188324	A6NF89	Olfactory receptor family 6 subfamily C member 6	No human protein/transcript evidence	Not detected	NA		OR6C6_HUMAN	35963	7	283365	2	0	NA	NA	NA
OR6C65	ENSG00000205328	A6NJZ3	Olfactory receptor family 6 subfamily C member 65	No human protein/transcript evidence	Not detected	NA		O6C65_HUMAN	35198	6	403282	3	0	NA	NA	NA
OR6C68	ENSG00000205327	A6NDL8	Olfactory receptor family 6 subfamily C member 68	No human protein/transcript evidence	Not detected	NA		O6C68_HUMAN	35296	6	403284	2	0	NA	NA	NA
OR6C70	ENSG00000184954	A6NIJ9	Olfactory receptor family 6 subfamily C member 70	No human protein/transcript evidence	Not detected	NA		O6C70_HUMAN	35468	6	390327	4	0	NA	NA	NA
OR6C74	ENSG00000197706	A6NCV1	Olfactory receptor family 6 subfamily C member 74	No human protein/transcript evidence	Not detected	NA		O6C74_HUMAN	35253	6	254783	4	0	NA	NA	NA
OR6C75	ENSG00000187857	A6NL08	Olfactory receptor family 6 subfamily C member 75	No human protein/transcript evidence	Not detected	NA		O6C75_HUMAN	35372	6	390323	3	0	NA	NA	NA
OR6C76	ENSG00000185821	A6NM76	Olfactory receptor family 6 subfamily C member 76	No human protein/transcript evidence	Not detected	NA		O6C76_HUMAN	35119	6	390326	2	1	NA	NA	NA
OR6F1	ENSG00000169214	Q8NGZ6	Olfactory receptor family 6 subfamily F member 1	Evidence at transcript level	Tissue enriched	5	testis: 1.3	OR6F1_HUMAN	33961	6	343169	5	1	NA	NA	NA
OR6J1	ENSG00000255804	Q8NGC5	Olfactory receptor family 6 subfamily J member 1	Evidence at transcript level	Tissue enhanced	NA	brain: 1.3	OR6J1_HUMAN	38693	6	79549	2	0	NA	NA	NA
OR6K2	ENSG00000196171	Q8NGY2	Olfactory receptor family 6 subfamily K member 2	No human protein/transcript evidence	Not detected	NA		OR6K2_HUMAN	36513	7	81448	3	0	NA	NA	NA
OR6K3	ENSG00000203757	Q8NGY3	Olfactory receptor family 6 subfamily K member 3	Evidence at transcript level	Tissue enriched	4	bone marrow: 1.3	OR6K3_HUMAN	37352	7	391114	5	0	NA	NA	NA
OR6K6	ENSG00000180433	Q8NGW6	Olfactory receptor family 6 subfamily K member 6	No human protein/transcript evidence	Not detected	NA		OR6K6_HUMAN	38362	7	128371	4	1	NA	NA	NA
